player_id,prev year,next year,class transition,type,prev conf,next conf,prev BB%,next BB%,prev K%,next K%,prev OBP,next OBP,prev SLG,next SLG,prev OPS,next OPS
bingha000sea,2023,2024,4 to 5,Transfer,P12,SEC,10.8,10.5,14.499999999999998,19.5,0.432,0.372,0.573,0.425,1.006,0.797
milam-000ste,2024,2025,1 to 2,Returning,SEC,SEC,12.2,13.900000000000002,13.700000000000001,9.2,0.415,0.398,0.516,0.506,0.931,0.904
kohler000log,2023,2024,4 to 5,Transfer,Amer,SEC,9.8,11.3,21.8,28.299999999999997,0.404,0.351,0.574,0.389,0.977,0.739
davis-007jay,2023,2024,1 to 2,Transfer,SoCo,SEC,13.600000000000001,9.3,12.1,10.9,0.452,0.394,0.541,0.435,0.994,0.828
jackso002bla,2023,2024,2 to 3,Transfer,CUSA,SEC,14.7,15.5,20.3,21.8,0.433,0.465,0.413,0.483,0.846,0.948
jones-017ken,2023,2024,2 to 3,Transfer,SoCo,SEC,9.3,14.6,15.7,25.6,0.445,0.398,0.598,0.483,1.042,0.881
lebron002jus,2024,2025,1 to 2,Returning,SEC,SEC,7.9,12.5,20.9,24.2,0.429,0.421,0.546,0.636,0.975,1.058
petrut000ian,2023,2024,2 to 3,Transfer,BTen,SEC,16.2,11.200000000000001,11.4,9.700000000000001,0.408,0.447,0.512,0.479,0.92,0.926
sleigh000eva,2023,2024,3 to 4,Transfer,BTen,SEC,13.200000000000001,9.2,13.200000000000001,24.5,0.435,0.354,0.571,0.456,1.007,0.809
donay-000bra,2024,2025,2 to 3,Returning,SEC,SEC,6.800000000000001,11.799999999999999,38.9,25.2,0.323,0.418,0.527,0.646,0.85,1.064
maners000mas,2023,2024,3 to 4,Transfer,ASun,SEC,10.7,13.3,16.6,20.599999999999998,0.462,0.426,0.594,0.549,1.057,0.975
weiss-000coo,2023,2024,4 to 5,Transfer,MAC,SEC,13.900000000000002,14.000000000000002,21.0,19.8,0.424,0.403,0.567,0.487,0.992,0.89
fische001and,2023,2024,1 to 2,Transfer,ACC,SEC,13.900000000000002,13.900000000000002,25.5,21.0,0.404,0.397,0.595,0.643,0.999,1.039
fische001and,2024,2025,2 to 3,Returning,SEC,SEC,13.900000000000002,21.6,21.0,14.399999999999999,0.397,0.497,0.643,0.76,1.039,1.257
hill--000luk,2023,2024,1 to 2,Transfer,P12,SEC,9.8,14.499999999999998,17.9,11.200000000000001,0.389,0.404,0.456,0.378,0.845,0.782
hill--000luk,2024,2025,2 to 3,Returning,SEC,SEC,14.499999999999998,15.0,11.200000000000001,14.000000000000002,0.404,0.459,0.378,0.488,0.782,0.947
ross--005jac,2023,2024,2 to 3,Transfer,CUSA,SEC,13.900000000000002,21.5,9.8,18.0,0.437,0.438,0.605,0.492,1.042,0.93
dickin000dan,2024,2025,2 to 3,Transfer,WAC,SEC,11.5,13.100000000000001,9.5,13.8,0.469,0.458,0.661,0.525,1.131,0.984
hernan029lui,2024,2025,3 to 4,Transfer,MVC,SEC,6.1,5.0,17.9,17.4,0.421,0.348,0.694,0.5,1.114,0.848
aloy--000kuh,2024,2025,1 to 2,Transfer,B12,SEC,8.9,11.1,27.6,27.500000000000004,0.329,0.404,0.447,0.539,0.776,0.943
davala000cha,2024,2025,1 to 2,Transfer,ASun,SEC,10.100000000000001,11.0,12.7,8.5,0.413,0.433,0.514,0.561,0.927,0.994
maxwel001log,2024,2025,3 to 4,Transfer,B12,SEC,14.099999999999998,12.3,10.8,15.9,0.447,0.454,0.482,0.605,0.929,1.059
flores000jal,2024,2025,2 to 3,Transfer,B12,SEC,7.6,8.6,20.1,22.0,0.408,0.317,0.656,0.491,1.064,0.809
